BHK,TYPE,AREA,C_STATUS,SQ_FT,CITY,PRICE
3,Apartment,Thaltej,Ready to move,1385,Ahmedabad,4800
2,Apartment,Bopal,Under Construction,1250,Ahmedabad,3956
4,Villa,Sanand,Under Construction,1536,Ahmedabad,5880
3,Apartment,Bopal,Under Construction,1400,Ahmedabad,2636
3,Apartment,Gota,Under Construction,2034,Ahmedabad,3650
3,Apartment,Memnagar,Under Construction,1672,Ahmedabad,6100
4,Apartment,Vastrapur,Ready to move,2727,Ahmedabad,6200
4,Independent House,Chandkheda,Ready to move,4095,Ahmedabad,4517
3,Apartment,Shela,Under Construction,1436,Ahmedabad,3043
2,Apartment,Nikol,Ready to move,1215,Ahmedabad,2592
2,Apartment,Near Nirma University On SG Highway,Under Construction,527,Ahmedabad,7020
3,Apartment,Vastrapur,Under Construction,1615,Ahmedabad,5965
2,Apartment,Near Nirma University On SG Highway,Under Construction,838,Ahmedabad,6978
3,Villa,Kasindra,Ready to move,2250,Ahmedabad,3310
1,Apartment,Narolgam,Ready to move,756,Ahmedabad,1889
2,Apartment,Narolgam,Under Construction,837,Ahmedabad,2330
2,Apartment,Chandkheda,Under Construction,1404,Ahmedabad,3556
3,Apartment,Ambavadi,Under Construction,2223,Ahmedabad,5500
3,Apartment,Vatva,Under Construction,873,Ahmedabad,3979
2,Apartment,Narol,Ready to move,1062,Ahmedabad,1723
1,Apartment,Vatva,Ready to move,612,Ahmedabad,1588
2,Apartment,Chandkheda,Under Construction,1080,Ahmedabad,2667
3,Apartment,Jodhpur Village,Ready to move,1836,Ahmedabad,5000
4,Villa,Sanathal,Ready to move,2475,Ahmedabad,3030
2,Apartment,Near Nirma University On SG Highway,Under Construction,527,Ahmedabad,7020
3,Apartment,Shilaj,Under Construction,777,Ahmedabad,7087
4,Apartment,Prahlad Nagar,Ready to move,2885,Ahmedabad,5800
1,Apartment,Sanand,Under Construction,783,Ahmedabad,2043
3,Apartment,Gota,Under Construction,1845,Ahmedabad,3194
2,Apartment,Prahlad Nagar,Under Construction,1210,Ahmedabad,3900
2,Apartment,Chandkheda,Under Construction,621,Ahmedabad,4831
1,Apartment,Bopal,Under Construction,1185,Ahmedabad,3000
1,Apartment,Bopal,Under Construction,1175,Ahmedabad,3328
3,Apartment,Thaltej,Ready to move,1655,Ahmedabad,4800
4,Villa,Sanand,Under Construction,1362,Ahmedabad,5881
3,Apartment,Gota,Under Construction,2079,Ahmedabad,3650
3,Apartment,Memnagar,Under Construction,1912,Ahmedabad,6100
3,Apartment,Vastrapur,Ready to move,1845,Ahmedabad,6200
2,Apartment,Nikol,Ready to move,945,Ahmedabad,2592
2,Apartment,Narol,Ready to move,954,Ahmedabad,1777
3,Apartment,Satellite,Ready to move,2088,Ahmedabad,7662
3,Independent House,Sola Village,Ready to move,2835,Ahmedabad,5820
3,Apartment,Prahlad Nagar,Ready to move,1710,Ahmedabad,6725
2,Apartment,Memnagar,Ready to move,2399,Ahmedabad,7294
2,Apartment,Paldi,Ready to move,1315,Ahmedabad,5323
2,Apartment,Bopal,Ready to move,1440,Ahmedabad,4513
4,Apartment,Chanakyapuri,Ready to move,3050,Ahmedabad,7049
2,Apartment,Jodhpur,Ready to move,1250,Ahmedabad,5440
2,Villa,Chandkheda,Ready to move,1674,Ahmedabad,5973
3,Apartment,Bopal,Under Construction,1435,Ahmedabad,2996
2,Apartment,Bopal,Under Construction,1435,Ahmedabad,3000
3,Apartment,Thaltej,Ready to move,1700,Ahmedabad,4800
4,Villa,Sanand,Under Construction,1317,Ahmedabad,5882
1,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,1008,Ahmedabad,4464
3,Apartment,Gota,Under Construction,2070,Ahmedabad,3650
3,Apartment,Ellisbridge,Ready to move,3548,Ahmedabad,6510
5,Villa,Thaltej,Ready to move,8000,Ahmedabad,2500
4,Independent House,Sanathal,Ready to move,2160,Ahmedabad,6944
4,Apartment,Memnagar,Under Construction,2705,Ahmedabad,6100
4,Villa,Manipur,Under Construction,2628,Ahmedabad,4680
2,Apartment,Jodhpur Village,Ready to move,1854,Ahmedabad,7065
2,Apartment,Bopal,Ready to move,1900,Ahmedabad,3947
3,Apartment,Jodhpur Village,Ready to move,1665,Ahmedabad,6606
1,Apartment,Gota,Ready to move,1176,Ahmedabad,3911
3,Apartment,Bopal,Ready to move,2285,Ahmedabad,5295
2,Apartment,Paldi,Ready to move,1872,Ahmedabad,5181
1,Apartment,Motera,Ready to move,774,Ahmedabad,3100
3,Apartment,Thaltej,Ready to move,2358,Ahmedabad,6997
2,Apartment,Nikol,Ready to move,1062,Ahmedabad,2683
2,Apartment,Bodakdev,Ready to move,1800,Ahmedabad,4888
2,Apartment,Vasna,Under Construction,2300,Ahmedabad,5700
2,Apartment,Bopal,Ready to move,1215,Ahmedabad,3456
3,Apartment,Prahlad Nagar,Ready to move,2250,Ahmedabad,6666
2,Apartment,Gota,Ready to move,1440,Ahmedabad,3472
3,Apartment,Chandkheda,Ready to move,1654,Ahmedabad,3204
2,Apartment,Narol,Ready to move,1062,Ahmedabad,1777
2,Apartment,Narolgam,Under Construction,1026,Ahmedabad,2314
3,Apartment,Bopal,Ready to move,2285,Ahmedabad,5164
3,Apartment,Vasna,Ready to move,2052,Ahmedabad,4288
3,Apartment,Judges Bungalow Road,Ready to move,1850,Ahmedabad,6594
2,Apartment,Chandkheda,Ready to move,1170,Ahmedabad,3247
2,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,1080,Ahmedabad,4166
2,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,1080,Ahmedabad,4166
3,Apartment,Motera Stadium Road,Ready to move,2457,Ahmedabad,3866
2,Apartment,Gota,Ready to move,1314,Ahmedabad,4185
2,Apartment,Shela,Ready to move,1075,Ahmedabad,5581
3,Apartment,Bopal,Ready to move,1435,Ahmedabad,4320
3,Apartment,Near Vaishno Devi Circle On SG Highway,Under Construction,1440,Ahmedabad,4166
2,Apartment,Bopal,Ready to move,1118,Ahmedabad,4472
3,Apartment,Gota,Ready to move,1485,Ahmedabad,3164
3,Apartment,Bopal,Ready to move,1375,Ahmedabad,4290
4,Villa,Sanand,Under Construction,1349,Ahmedabad,5881
4,Villa,Sanand,Under Construction,1509,Ahmedabad,5880
4,Villa,Sanand,Under Construction,1537,Ahmedabad,5881
4,Villa,Sanand,Under Construction,1477,Ahmedabad,5883
4,Villa,Sanand,Under Construction,1314,Ahmedabad,5883
3,Apartment,Thaltej,Ready to move,1745,Ahmedabad,4800
2,Apartment,Bopal,Under Construction,1315,Ahmedabad,3951
3,Apartment,Bopal,Under Construction,1435,Ahmedabad,4087
3,Apartment,Gota,Under Construction,2025,Ahmedabad,3650
6,Apartment,Thaltej,Ready to move,5200,Ahmedabad,11538
4,Apartment,Ambli,Ready to move,5000,Ahmedabad,10000
5,Apartment,Bodakdev,Ready to move,4500,Ahmedabad,8888
2,Apartment,Makarba,Under Construction,1760,Ahmedabad,4300
1,Apartment,Makarba,Under Construction,1270,Ahmedabad,4300
3,Apartment,Thaltej,Ready to move,4060,Ahmedabad,9236
1,Apartment,Aslali,Under Construction,702,Ahmedabad,2065
4,Apartment,Satellite,Under Construction,5450,Ahmedabad,10000
4,Apartment,Satellite,Under Construction,6623,Ahmedabad,9995
3,Apartment,Bodakdev,Under Construction,3272,Ahmedabad,6570
5,Apartment,Satellite,Under Construction,8110,Ahmedabad,10000
3,Apartment,Bodakdev,Under Construction,3311,Ahmedabad,6493
4,Apartment,Shela,Ready to move,2460,Ahmedabad,4878
4,Apartment,Shela,Ready to move,2300,Ahmedabad,4565
3,Apartment,Bopal,Ready to move,1450,Ahmedabad,3200
3,Apartment,Bopal,Under Construction,1430,Ahmedabad,4195
3,Apartment,Prahlad Nagar,Ready to move,1776,Ahmedabad,5349
3,Apartment,Ambavadi,Ready to move,3125,Ahmedabad,7520
3,Apartment,Ambli,Under Construction,2425,Ahmedabad,4600
3,Apartment,Thaltej,Under Construction,3628,Ahmedabad,8500
3,Apartment,Ambli,Under Construction,2425,Ahmedabad,4600
1,Apartment,Gota,Ready to move,960,Ahmedabad,2812
1,Apartment,Gota,Ready to move,1350,Ahmedabad,4370
3,Apartment,Bopal,Ready to move,1385,Ahmedabad,3249
3,Apartment,Ambavadi,Ready to move,2754,Ahmedabad,5628
3,Apartment,Bodakdev,Ready to move,4400,Ahmedabad,6800
2,Apartment,Jodhpur Village,Ready to move,2781,Ahmedabad,5933
2,Apartment,Bopal,Under Construction,2450,Ahmedabad,4000
2,Apartment,Vasna,Under Construction,1850,Ahmedabad,6186
2,Apartment,Vasna,Under Construction,2300,Ahmedabad,6178
2,Apartment,Vasna,Under Construction,1850,Ahmedabad,5700
2,Apartment,Vasna,Under Construction,1850,Ahmedabad,7351
2,Apartment,Vasna,Under Construction,2300,Ahmedabad,7173
2,Apartment,Bopal,Under Construction,2400,Ahmedabad,4708
2,Apartment,Bopal,Under Construction,2450,Ahmedabad,4693
2,Apartment,Makarba,Under Construction,1805,Ahmedabad,3850
2,Apartment,Sanand,Under Construction,744,Ahmedabad,2956
1,Apartment,Bopal,Under Construction,1185,Ahmedabad,3000
1,Apartment,Bopal,Under Construction,1250,Ahmedabad,3000
2,Apartment,Memnagar,Ready to move,1120,Ahmedabad,4107
3,Independent House,Thaltej,Ready to move,3600,Ahmedabad,16666
1,Apartment,Thaltej,Ready to move,1170,Ahmedabad,5128
3,Independent House,Science City,Ready to move,1908,Ahmedabad,11792
3,Independent House,Vastrapur,Ready to move,3600,Ahmedabad,23611
2,Apartment,Thaltej,Ready to move,1680,Ahmedabad,6845
1,Apartment,Jodhpur Village,Ready to move,1170,Ahmedabad,7692
3,Independent House,Thaltej,Ready to move,1800,Ahmedabad,13888
3,Apartment,Prahlad Nagar,Ready to move,1935,Ahmedabad,6718
2,Villa,Chandkheda,Ready to move,2160,Ahmedabad,3935
3,Apartment,Thaltej,Ready to move,2400,Ahmedabad,5041
2,Apartment,Law Garden,Ready to move,765,Ahmedabad,7843
3,Apartment,Shela,Ready to move,1435,Ahmedabad,4181
4,Apartment,Jodhpur Village,Ready to move,2450,Ahmedabad,5800
4,Apartment,Jodhpur Village,Ready to move,2781,Ahmedabad,6005
3,Apartment,Bopal,Ready to move,1375,Ahmedabad,4145
3,Apartment,Jodhpur Village,Ready to move,1710,Ahmedabad,5800
1,Apartment,Gota,Ready to move,610,Ahmedabad,4098
2,Apartment,Thaltej,Ready to move,1655,Ahmedabad,6223
2,Apartment,Thaltej,Ready to move,1655,Ahmedabad,6283
2,Apartment,Thaltej,Ready to move,1745,Ahmedabad,4985
2,Apartment,Thaltej,Ready to move,1745,Ahmedabad,6131
2,Apartment,Thaltej,Ready to move,1385,Ahmedabad,6064
1,Apartment,Vastrapur,Ready to move,1251,Ahmedabad,6794
